ODWell	OD	Plate	Well	Sample	DNA_C
N_3	250	2	G_3	S22	0.03959535264584253
N_4	53	2	G_4	BLANK	0.020750474282512893
N_5	393	2	G_5	S37	0.05327608560062197
N_6	101	2	G_6	S51	0.02534190562876213
N_7	1458	2	G_7	S58	0.155202582443984
N_8	7401	2	G_8	S66	0.7252281762117311
N_9	9443	2	G_9	S73	0.9215757617588691
N_10	288	2	G_10	S81	0.04323067270476237
N_11	41478	2	G_11	K30	4.034572780021967
N_12	44	2	G_12	0	0.01988959626520152
O_1	3204	1	H_1	HV10	0.32245156810656517
O_2	211	1	H_2	HV16	0.035864456184614694
O_3	1634	1	H_3	HV23	0.172053313225742
O_4	136	1	H_4	HV31	0.028689911299477455
O_5	111	1	H_5	HV38	0.02629847119210404
O_6	114	1	H_6	HV46	0.0265854420288343
O_7	4414	1	H_7	HV13-2	0.4384643169484906
O_8	1396	1	H_8	HV23-2	0.14926697137520606
O_9	491	1	H_9	HV27-4	0.06265239996431227
O_10	205	1	H_10	HV33-2	0.035290480197925175
O_11	1974	1	H_11	K13	0.20461111430495896
O_12	44	1	H_12	0	0.01988959626520152
P_1	116	2	H_1	S07	0.02677675621940516
P_2	139	2	H_2	S15	0.028976886627468054
P_3	1142	2	H_3	S23	0.12495251636916277
P_4	302	2	H_4	S30	0.04457002294510583
P_5	238	2	H_5	S38	0.03844737480280394
P_6	75	2	H_6	BLANK	0.022854863189537698
P_7	489	2	H_7	S59	0.062461040861138004
P_8	4740	2	H_8	S67	0.46973563722734785
P_9	14523	2	H_9	S74	1.4111241467526565
P_10	48312	2	H_10	K19	4.706619299498911
P_11	95	2	H_11	K31	0.024767969165163606
P_12	44	2	H_12	0	0.01988959626520152
