seq	kingdom	phylum	class	order	family	genus	species
seq_0272	1.00	0.98	0.98	0.98	0.98	0.98	0.98
seq_0001	1.00	1.00	0.62	0.62	0.62	0.62	0.62
seq_0200	1.00	0.82	0.24	0.09	0.08	0.08	0.08
seq_0010	1.00	0.88	0.28	0.14	0.14	0.14	0.01
seq_0003	1.00	0.56	0.56	0.45	0.26	0.26	0.22
seq_0044	1.00	0.53	0.53	0.48	0.28	0.28	0.18
seq_0041	1.00	0.50	0.50	0.12	0.11	0.06	0.06
seq_2127	1.00	0.91	0.91	0.05	0.05	0.05	0.05
seq_2128	0	NA	NA	NA	NA	NA	NA
seq_0020	1.00	0.92	0.27	0.22	0.22	0.19	0.14
seq_0032	1.00	0.99	0.72	0.14	0.14	0.14	0.13
seq_0038	1.00	0.43	0.43	0.08	0.05	0.03	0.02
seq_0096	1.00	0.98	0.89	0.77	0.77	0.77	0.70
seq_0008	1.00	0.13	0.12	0.04	0.02	0.02	0.02
seq_0004	1.00	0.89	0.89	0.72	0.72	0.71	0.71
seq_2130	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0040	0	NA	NA	NA	NA	NA	NA
seq_0015	1.00	0.97	0.91	0.55	0.09	0.05	0.05
seq_2129	1.00	0.90	0.17	0.13	0.03	0.03	0.03
seq_0043	1.00	0.92	0.92	0.47	0.25	0.25	0.13
seq_0011	1.00	0.87	0.48	0.40	0.35	0.32	0.29
seq_0002	1.00	0.99	0.89	0.76	0.17	0.17	0.17
seq_0024	1.00	0.44	0.44	0.19	0.05	0.04	0.04
seq_0031	1.00	0.83	0.83	0.44	0.44	0.27	0.27
seq_0022	1.00	1.00	0.92	0.47	0.47	0.47	0.20
seq_0014	1.00	0.99	0.52	0.49	0.27	0.25	0.25
seq_0009	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0166	1.00	0.95	0.93	0.78	0.05	0.05	0.04
seq_0045	1.00	0.72	0.72	0.31	0.04	0.04	0.03
seq_0005	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0048	1.00	1.00	1.00	0.98	0.97	0.87	0.24
seq_2132	1.00	0.88	0.88	0.37	0.30	0.23	0.17
seq_0018	1.00	0.98	0.30	0.19	0.19	0.19	0.19
seq_0017	1.00	0.95	0.14	0.10	0.09	0.09	0.08
seq_0037	0	NA	NA	NA	NA	NA	NA
seq_2135	1.00	0.88	0.05	0.05	0.05	0.05	0.05
seq_0121	0	NA	NA	NA	NA	NA	NA
seq_0093	1.00	0.91	0.29	0.27	0.17	0.17	0.17
seq_0057	1.00	0.94	0.60	0.11	0.01	0.01	0.01
seq_1054	1.00	1.00	0.75	0.70	0.65	0.65	0.22
seq_0386	1.00	0.97	0.70	0.70	0.70	0.70	0.70
seq_0066	1.00	0.88	0.11	0.09	0.09	0.01	0.01
seq_0046	1.00	1.00	0.45	0.42	0.20	0.20	0.20
seq_0248	1.00	0.67	0.67	0.33	0.08	0.08	0.07
seq_0021	1.00	0.52	0.27	0.19	0.02	0.02	0.02
seq_0027	1.00	0.98	0.98	0.63	0.56	0.56	0.56
seq_0026	0	NA	NA	NA	NA	NA	NA
seq_0050	1.00	0.58	0.55	0.16	0.05	0.01	0.01
seq_0013	1.00	0.98	0.31	0.20	0.12	0.12	0.12
seq_0025	1.00	0.81	0.14	0.11	0.06	0.04	0.04
seq_0047	1.00	1.00	0.97	0.97	0.97	0.97	0.87
seq_2136	1.00	0.09	0.07	0.04	0.02	0.02	0.02
seq_0133	1.00	0.54	0.54	0.26	0.08	0.06	0.06
seq_0029	1.00	0.97	0.97	0.55	0.48	0.48	0.48
seq_2137	1.00	0.99	0.96	0.82	0.05	0.03	0.02
seq_0227	1.00	0.96	0.55	0.22	0.22	0.21	0.21
seq_0023	1.00	0.40	0.36	0.03	0.03	0.03	0.03
seq_2143	1.00	1.00	0.82	0.47	0.47	0.47	0.08
seq_0352	1.00	0.97	0.41	0.36	0.36	0.36	0.36
seq_2139	1.00	0.98	0.40	0.10	0.10	0.10	0.10
seq_0084	1.00	0.92	0.92	0.60	0.41	0.17	0.13
seq_0515	1.00	1.00	1.00	1.00	1.00	1.00	0.19
seq_2138	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0546	1.00	0.96	0.75	0.43	0.43	0.43	0.14
seq_0028	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0061	1.00	0.01	0.01	0.01	0.01	0.01	0.01
seq_0669	1.00	1.00	0.88	0.88	0.88	0.88	0.88
seq_2153	0	NA	NA	NA	NA	NA	NA
seq_0371	1.00	0.99	0.46	0.34	0.08	0.08	0.08
seq_0012	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0072	1.00	0.99	0.83	0.80	0.21	0.07	0.07
seq_0241	1.00	1.00	1.00	1.00	1.00	0.99	0.01
seq_0060	1.00	0.99	0.99	0.99	0.99	0.99	0.83
seq_0204	1.00	0.67	0.22	0.10	0.10	0.04	0.02
seq_0108	1.00	0.42	0.42	0.07	0.07	0.07	0.07
seq_2140	1.00	1.00	1.00	1.00	1.00	0.39	0.39
seq_0070	1.00	0.85	0.09	0.05	0.05	0.05	0.02
seq_2141	1.00	0.89	0.89	0.79	0.57	0.35	0.16
seq_0226	1.00	0.71	0.26	0.15	0.14	0.03	0.03
seq_0280	1.00	0.80	0.08	0.02	0.02	0.02	0.02
seq_0157	1.00	0.22	0.22	0.06	0.02	0.02	0.01
seq_2142	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0365	1.00	0.98	0.27	0.17	0.15	0.13	0.12
seq_0726	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0081	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0051	1.00	0.99	0.91	0.20	0.20	0.20	0.20
seq_0071	1.00	0.84	0.84	0.35	0.02	0.02	0.02
seq_0131	1.00	0.94	0.94	0.67	0.29	0.26	0.26
seq_0119	1.00	0.47	0.47	0.24	0.24	0.24	0.24
seq_0187	1.00	0.95	0.90	0.90	0.35	0.19	0.02
seq_0034	1.00	0.10	0.10	0.03	0.03	0.02	0.02
seq_0461	1.00	0.66	0.66	0.48	0.31	0.23	0.23
seq_0030	1.00	1.00	1.00	1.00	1.00	0.76	0.35
seq_2156	1.00	0.86	0.63	0.21	0.01	0.01	0.01
seq_0124	1.00	0.04	0.02	0.02	0.02	0.02	0.01
seq_0247	1.00	0.95	0.39	0.32	0.32	0.32	0.32
seq_0112	1.00	0.38	0.38	0.16	0.09	0.09	0.02
seq_0180	1.00	0.87	0.87	0.48	0.34	0.27	0.27
seq_0033	1.00	0.97	0.97	0.92	0.43	0.11	0.04
seq_0042	1.00	0.74	0.39	0.31	0.08	0.03	0.03
seq_2145	1.00	0.96	0.28	0.06	0.06	0.06	0.04
seq_2144	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0019	1.00	1.00	0.45	0.44	0.29	0.29	0.29
seq_0049	1.00	1.00	0.64	0.28	0.28	0.28	0.11
seq_0412	0	NA	NA	NA	NA	NA	NA
seq_0095	1.00	0.36	0.12	0.05	0.04	0.04	0.04
seq_0941	1.00	0.96	0.35	0.23	0.23	0.13	0.08
seq_0088	1.00	0.78	0.78	0.47	0.37	0.12	0.12
seq_0090	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0082	1.00	1.00	1.00	0.95	0.87	0.47	0.40
seq_0039	1.00	0.99	0.29	0.18	0.18	0.18	0.18
seq_0234	1.00	0.95	0.61	0.40	0.40	0.40	0.14
seq_0176	1.00	0.99	0.99	0.99	0.99	0.99	0.25
seq_0400	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0190	0	NA	NA	NA	NA	NA	NA
seq_0080	1.00	0.74	0.74	0.26	0.15	0.15	0.03
seq_0218	1.00	0.95	0.40	0.34	0.04	0.04	0.04
seq_2146	1.00	0.95	0.85	0.08	0.03	0.01	0.01
seq_0055	1.00	1.00	0.56	0.49	0.44	0.41	0.41
seq_0094	1.00	0.33	0.32	0.08	0.08	0.04	0.04
seq_0062	1.00	0.74	0.44	0.41	0.19	0.06	0.06
seq_0498	1.00	0.10	0.07	0.03	0.01	0.01	0.01
seq_0100	1.00	0.44	0.44	0.20	0.09	0.09	0.01
seq_2151	1.00	0.99	0.32	0.30	0.30	0.30	0.30
seq_2147	1.00	0.88	0.47	0.38	0.29	0.02	0.02
seq_2148	0	NA	NA	NA	NA	NA	NA
seq_0284	1.00	1.00	0.98	0.98	0.94	0.81	0.07
seq_0056	1.00	0.62	0.61	0.11	0.10	0.08	0.08
seq_0490	1.00	0.83	0.41	0.28	0.14	0.10	0.05
seq_2150	0	NA	NA	NA	NA	NA	NA
seq_2154	1.00	0.96	0.56	0.56	0.54	0.12	0.02
seq_2152	1.00	0.06	0.02	0.02	0.02	0.02	0.01
seq_0097	1.00	0.88	0.28	0.27	0.24	0.17	0.04
seq_0035	1.00	0.95	0.17	0.03	0.03	0.03	0.03
seq_0117	1.00	0.81	0.81	0.37	0.19	0.19	0.13
seq_2155	1.00	0.95	0.84	0.67	0.09	0.08	0.08
seq_0151	1.00	0.26	0.23	0.10	0.09	0.09	0.09
seq_0297	1.00	0.99	0.49	0.09	0.09	0.09	0.07
seq_0092	1.00	0.44	0.44	0.08	0.08	0.08	0.08
seq_0120	1.00	0.45	0.42	0.09	0.02	0.01	0.01
seq_0053	1.00	1.00	0.80	0.22	0.22	0.22	0.06
seq_0181	1.00	1.00	1.00	1.00	1.00	0.99	0.99
seq_0068	1.00	1.00	1.00	1.00	1.00	1.00	0.99
seq_0139	1.00	0.09	0.09	0.01	0.01	0.01	0.01
seq_0183	1.00	1.00	0.22	0.22	0.22	0.20	0.20
seq_0078	1.00	0.86	0.31	0.11	0.11	0.11	0.11
seq_0281	1.00	0.69	0.67	0.20	0.03	0.01	0.01
seq_1388	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0054	1.00	0.60	0.57	0.19	0.10	0.10	0.01
seq_2157	1.00	0.95	0.21	0.05	0.05	0.05	0.05
seq_2164	1.00	1.00	1.00	1.00	1.00	1.00	0.86
seq_0769	1.00	0.96	0.17	0.06	0.02	0.02	0.02
seq_2160	1.00	0.02	0.02	0.02	0.02	0.02	0.02
seq_0203	1.00	0.98	0.83	0.80	0.33	0.11	0.01
seq_2159	1.00	0.93	0.76	0.22	0.22	0.22	0.18
seq_0191	1.00	0.55	0.55	0.30	0.24	0.24	0.24
seq_0317	1.00	0.68	0.31	0.10	0.10	0.10	0.09
seq_2158	1.00	0.10	0.10	0.01	0.01	0.01	0.01
seq_0175	1.00	0.95	0.41	0.12	0.09	0.09	0.09
seq_2161	0	NA	NA	NA	NA	NA	NA
seq_1331	1.00	0.88	0.41	0.41	0.41	0.28	0.28
seq_0111	1.00	0.78	0.59	0.19	0.04	0.01	0.01
seq_2165	1.00	1.00	1.00	1.00	1.00	0.92	0.92
seq_0135	1.00	1.00	0.82	0.53	0.14	0.05	0.04
seq_0138	1.00	1.00	0.88	0.44	0.22	0.03	0.02
seq_2163	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_2166	1.00	0.85	0.71	0.11	0.03	0.03	0.01
seq_0067	1.00	0.82	0.80	0.80	0.80	0.80	0.22
seq_0570	1.00	0.73	0.69	0.69	0.69	0.22	0.19
seq_0086	1.00	1.00	0.93	0.50	0.50	0.50	0.06
seq_0543	1.00	0.05	0.04	0.04	0.04	0.04	0.04
seq_0128	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0106	1.00	0.99	0.99	0.99	0.99	0.98	0.98
seq_0098	1.00	0.97	0.97	0.69	0.69	0.69	0.67
seq_0683	1.00	1.00	0.98	0.98	0.97	0.62	0.23
seq_0160	1.00	0.94	0.37	0.35	0.13	0.05	0.05
seq_0169	1.00	0.88	0.71	0.59	0.14	0.05	0.01
seq_0158	1.00	0.52	0.52	0.30	0.15	0.15	0.03
seq_2169	1.00	0.76	0.67	0.15	0.02	0.02	0.02
seq_0282	1.00	0.89	0.16	0.05	0.05	0.04	0.04
seq_2168	1.00	0.26	0.05	0.05	0.05	0.02	0.01
seq_2167	1.00	0.10	0.10	0.07	0.05	0.04	0.02
seq_0134	1.00	0.99	0.81	0.70	0.70	0.70	0.43
seq_0506	1.00	0.77	0.32	0.09	0.01	0.01	0.01
seq_1800	1.00	1.00	0.65	0.27	0.27	0.25	0.25
seq_0379	1.00	0.89	0.73	0.70	0.70	0.70	0.57
seq_0065	1.00	0.99	0.97	0.21	0.02	0.02	0.02
seq_0244	1.00	0.51	0.47	0.22	0.03	0.01	0.01
seq_0401	1.00	0.99	0.32	0.28	0.28	0.23	0.14
seq_0069	1.00	0.99	0.99	0.04	0.04	0.03	0.03
seq_0113	1.00	0.91	0.91	0.37	0.34	0.13	0.13
seq_2170	1.00	0.57	0.46	0.15	0.02	0.01	0.01
seq_0315	1.00	0.81	0.29	0.22	0.17	0.10	0.04
seq_0221	1.00	1.00	0.03	0.03	0.03	0.03	0.03
seq_0405	1.00	0.05	0.03	0.03	0.03	0.03	0.03
seq_0295	1.00	0.63	0.59	0.17	0.01	0.01	0.01
seq_0245	1.00	0.96	0.12	0.03	0.02	0.02	0.02
seq_0362	1.00	0.99	0.64	0.39	0.23	0.23	0.12
seq_0063	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0262	1.00	0.75	0.22	0.03	0.02	0.02	0.02
seq_0450	1.00	1.00	0.02	0.01	0.01	0.01	0.01
seq_0052	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_2172	1.00	0.76	0.71	0.37	0.01	0.01	0.01
seq_0077	1.00	0.27	0.25	0.25	0.22	0.04	0.04
seq_1417	1.00	0.83	0.69	0.13	0.05	0.05	0.05
seq_1816	1.00	0.92	0.92	0.64	0.41	0.09	0.09
seq_0126	1.00	0.55	0.52	0.25	0.01	0.01	0.01
seq_2180	1.00	0.72	0.72	0.19	0.02	0.02	0.02
seq_0431	1.00	0.90	0.55	0.45	0.28	0.14	0.14
seq_2174	1.00	0.43	0.10	0.10	0.10	0.10	0.10
seq_2177	1.00	0.99	0.23	0.11	0.11	0.11	0.11
seq_0114	1.00	0.98	0.98	0.92	0.71	0.68	0.08
seq_0115	1.00	0.90	0.90	0.46	0.45	0.06	0.03
seq_0099	0	NA	NA	NA	NA	NA	NA
seq_2173	0	NA	NA	NA	NA	NA	NA
seq_0369	1.00	0.76	0.76	0.67	0.65	0.35	0.13
seq_0146	1.00	0.91	0.27	0.07	0.01	0.01	0.01
seq_2176	1.00	0.44	0.33	0.33	0.33	0.33	0.03
seq_0152	1.00	0.80	0.14	0.11	0.10	0.10	0.09
seq_0306	1.00	0.97	0.40	0.18	0.18	0.06	0.06
seq_0074	1.00	1.00	1.00	1.00	1.00	0.84	0.84
seq_2178	1.00	0.82	0.01	0.01	0.01	0.01	0.01
seq_0324	1.00	0.93	0.22	0.14	0.03	0.02	0.02
seq_2190	0	NA	NA	NA	NA	NA	NA
seq_0263	1.00	0.56	0.03	0.03	0.03	0.03	0.03
seq_2179	0	NA	NA	NA	NA	NA	NA
seq_0104	1.00	0.93	0.83	0.80	0.80	0.80	0.42
seq_0299	1.00	0.63	0.63	0.32	0.22	0.21	0.21
seq_1421	1.00	0.91	0.26	0.13	0.10	0.07	0.01
seq_0274	1.00	0.08	0.08	0.08	0.08	0.07	0.03
seq_0662	1.00	0.36	0.36	0.26	0.23	0.23	0.23
seq_0331	1.00	1.00	1.00	0.97	0.94	0.91	0.91
seq_0156	1.00	0.90	0.70	0.70	0.70	0.38	0.29
seq_2185	0	NA	NA	NA	NA	NA	NA
seq_2181	1.00	0.91	0.73	0.70	0.13	0.01	0.01
seq_0079	1.00	0.51	0.50	0.38	0.21	0.21	0.18
seq_2200	1.00	0.08	0.06	0.06	0.06	0.04	0.01
seq_0544	0	NA	NA	NA	NA	NA	NA
seq_0250	1.00	0.87	0.41	0.33	0.12	0.11	0.05
seq_0122	1.00	0.45	0.45	0.28	0.25	0.10	0.10
seq_0972	1.00	0.28	0.27	0.02	0.01	0.01	0.01
seq_0075	1.00	0.97	0.25	0.07	0.07	0.07	0.07
seq_0165	1.00	0.87	0.82	0.54	0.29	0.29	0.29
seq_2183	1.00	0.88	0.37	0.21	0.21	0.02	0.02
seq_2184	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_2189	1.00	0.95	0.24	0.02	0.02	0.02	0.02
seq_0441	0	NA	NA	NA	NA	NA	NA
seq_0142	1.00	1.00	1.00	1.00	1.00	0.92	0.19
seq_0301	1.00	1.00	1.00	0.98	0.91	0.82	0.58
seq_0087	1.00	0.78	0.70	0.16	0.11	0.11	0.11
seq_0278	1.00	1.00	1.00	1.00	1.00	1.00	0.92
seq_2187	1.00	0.96	0.41	0.25	0.06	0.02	0.02
seq_0085	1.00	0.94	0.17	0.13	0.13	0.13	0.06
seq_2188	1.00	0.90	0.53	0.05	0.05	0.05	0.05
seq_0144	1.00	1.00	0.69	0.59	0.42	0.42	0.35
seq_0286	1.00	0.80	0.80	0.67	0.04	0.04	0.04
seq_0360	1.00	0.03	0.03	0.01	0.01	0.01	0.01
seq_0159	1.00	1.00	0.22	0.22	0.06	0.06	0.06
seq_0186	1.00	1.00	1.00	1.00	1.00	0.94	0.51
seq_2192	1.00	1.00	0.23	0.04	0.03	0.03	0.03
seq_0162	1.00	0.98	0.21	0.09	0.05	0.05	0.05
seq_2196	0	NA	NA	NA	NA	NA	NA
seq_0252	1.00	0.84	0.84	0.09	0.06	0.06	0.06
seq_0202	1.00	0.76	0.75	0.74	0.46	0.46	0.15
seq_0089	1.00	0.87	0.19	0.03	0.01	0.01	0.01
seq_0627	1.00	0.98	0.57	0.18	0.18	0.18	0.18
seq_2194	1.00	0.01	0.01	0.01	0.01	0.01	0.01
seq_0409	1.00	0.54	0.40	0.14	0.01	0.01	0.01
seq_2198	1.00	0.98	0.92	0.11	0.09	0.04	0.04
seq_2197	1.00	0.05	0.02	0.02	0.01	0.01	0.01
seq_0199	1.00	0.54	0.54	0.03	0.02	0.02	0.02
seq_0224	1.00	0.98	0.39	0.26	0.26	0.26	0.26
seq_0091	1.00	0.63	0.56	0.13	0.01	0.01	0.01
seq_2204	1.00	0.95	0.23	0.10	0.05	0.03	0.03
seq_0194	1.00	0.07	0.07	0.07	0.04	0.04	0.02
seq_2217	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0268	1.00	0.99	0.14	0.10	0.04	0.02	0.01
seq_0189	1.00	1.00	1.00	1.00	1.00	0.40	0.30
seq_2202	1.00	0.93	0.44	0.44	0.44	0.44	0.44
seq_0336	1.00	0.80	0.07	0.02	0.02	0.02	0.02
seq_0249	1.00	0.83	0.83	0.74	0.19	0.19	0.17
seq_0373	1.00	1.00	0.98	0.43	0.09	0.08	0.08
seq_0694	0	NA	NA	NA	NA	NA	NA
seq_0588	1.00	0.98	0.50	0.24	0.01	0.01	0.01
seq_2203	1.00	0.66	0.13	0.08	0.08	0.08	0.08
seq_0212	1.00	0.12	0.11	0.09	0.03	0.02	0.02
seq_2206	1.00	0.99	0.30	0.23	0.04	0.03	0.03
seq_0143	1.00	0.99	0.48	0.16	0.10	0.05	0.05
seq_0397	1.00	0.99	0.99	0.99	0.99	0.99	0.99
seq_2209	1.00	0.99	0.90	0.23	0.23	0.23	0.23
seq_0261	1.00	0.18	0.09	0.09	0.09	0.02	0.01
seq_1630	1.00	1.00	0.85	0.79	0.61	0.61	0.30
seq_2205	1.00	0.71	0.56	0.21	0.05	0.01	0.01
seq_0385	1.00	1.00	0.78	0.41	0.26	0.26	0.06
seq_2207	1.00	0.97	0.49	0.45	0.37	0.08	0.05
seq_1621	1.00	1.00	0.98	0.98	0.98	0.59	0.20
seq_0208	1.00	0.13	0.10	0.10	0.06	0.01	0.01
seq_0270	1.00	0.98	0.83	0.16	0.12	0.12	0.12
seq_0174	1.00	0.99	0.94	0.61	0.19	0.19	0.15
seq_0105	1.00	0.41	0.41	0.19	0.19	0.10	0.03
seq_0367	1.00	0.71	0.14	0.01	0.01	0.01	0.01
seq_2210	1.00	0.56	0.56	0.51	0.51	0.51	0.51
seq_2208	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0184	1.00	0.51	0.50	0.03	0.01	0.01	0.01
seq_0164	1.00	0.75	0.75	0.23	0.22	0.01	0.01
seq_1636	1.00	0.32	0.32	0.23	0.02	0.02	0.01
seq_0747	1.00	0.99	0.99	0.99	0.78	0.57	0.18
seq_0110	1.00	0.78	0.78	0.16	0.11	0.11	0.11
seq_2211	1.00	1.00	1.00	1.00	0.99	0.92	0.46
seq_2213	1.00	0.92	0.39	0.15	0.15	0.15	0.15
seq_0155	1.00	0.98	0.93	0.84	0.40	0.06	0.05
seq_2212	1.00	0.77	0.62	0.03	0.03	0.02	0.02
seq_1166	1.00	0.85	0.27	0.26	0.07	0.04	0.04
seq_0533	1.00	0.69	0.25	0.20	0.19	0.19	0.19
seq_0255	1.00	0.10	0.09	0.04	0.01	0.01	0.01
seq_2214	1.00	1.00	0.54	0.16	0.14	0.14	0.14
seq_2224	0	NA	NA	NA	NA	NA	NA
seq_0215	1.00	0.42	0.33	0.13	0.01	0.01	0.01
seq_0881	1.00	0.99	0.78	0.33	0.33	0.33	0.32
seq_0123	1.00	0.13	0.13	0.06	0.06	0.02	0.02
seq_0173	1.00	0.40	0.40	0.07	0.05	0.05	0.02
seq_2215	1.00	0.42	0.42	0.27	0.15	0.15	0.15
seq_2236	1.00	0.68	0.39	0.15	0.06	0.02	0.02
seq_2242	1.00	0.98	0.14	0.09	0.09	0.09	0.09
seq_0137	1.00	0.96	0.91	0.91	0.91	0.91	0.44
seq_0567	1.00	1.00	0.74	0.74	0.74	0.74	0.74
seq_0965	1.00	0.97	0.96	0.63	0.60	0.22	0.19
seq_0198	0	NA	NA	NA	NA	NA	NA
seq_1234	0	NA	NA	NA	NA	NA	NA
seq_0720	1.00	1.00	1.00	1.00	1.00	1.00	0.77
seq_2219	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_2220	1.00	1.00	0.99	0.09	0.08	0.04	0.04
seq_2221	1.00	0.85	0.85	0.35	0.26	0.17	0.17
seq_2222	1.00	0.95	0.95	0.25	0.04	0.02	0.01
seq_0308	1.00	1.00	1.00	1.00	1.00	0.76	0.59
seq_0823	1.00	0.33	0.26	0.07	0.07	0.07	0.05
seq_0170	0	NA	NA	NA	NA	NA	NA
seq_0406	1.00	0.89	0.28	0.16	0.16	0.05	0.02
seq_0302	1.00	0.55	0.45	0.15	0.01	0.01	0.01
seq_0116	1.00	0.88	0.61	0.09	0.02	0.02	0.02
seq_0182	1.00	0.23	0.23	0.09	0.06	0.01	0.01
seq_0240	1.00	0.94	0.38	0.01	0.01	0.01	0.01
seq_0510	1.00	0.46	0.11	0.07	0.07	0.04	0.04
seq_0125	1.00	0.99	0.58	0.39	0.39	0.39	0.39
seq_2229	0	NA	NA	NA	NA	NA	NA
seq_0207	1.00	0.99	0.86	0.11	0.11	0.11	0.11
seq_0289	1.00	0.98	0.18	0.07	0.07	0.07	0.02
seq_2225	1.00	0.70	0.24	0.23	0.23	0.23	0.23
seq_0127	1.00	0.95	0.20	0.11	0.09	0.03	0.01
seq_0130	1.00	0.87	0.38	0.36	0.33	0.26	0.26
seq_0222	1.00	0.97	0.97	0.66	0.61	0.08	0.08
seq_0209	1.00	0.96	0.96	0.55	0.54	0.37	0.28
seq_0196	1.00	0.93	0.66	0.41	0.38	0.38	0.21
seq_0129	1.00	0.56	0.55	0.25	0.12	0.12	0.07
seq_0808	1.00	1.00	0.94	0.49	0.47	0.47	0.28
seq_0197	1.00	1.00	1.00	0.99	0.93	0.78	0.60
seq_0154	1.00	0.94	0.86	0.84	0.49	0.31	0.11
seq_2227	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0258	1.00	0.95	0.39	0.12	0.03	0.01	0.01
seq_0140	1.00	1.00	1.00	1.00	1.00	0.87	0.32
seq_1126	1.00	1.00	0.94	0.29	0.03	0.01	0.01
seq_0171	1.00	0.71	0.34	0.30	0.30	0.30	0.30
seq_1006	1.00	1.00	1.00	1.00	1.00	1.00	0.63
seq_0148	1.00	1.00	0.35	0.30	0.23	0.23	0.23
seq_0136	1.00	0.12	0.12	0.08	0.08	0.08	0.01
seq_0205	1.00	0.65	0.04	0.02	0.02	0.02	0.02
seq_2231	1.00	0.91	0.78	0.20	0.08	0.08	0.08
seq_2112	1.00	0.94	0.39	0.07	0.07	0.07	0.03
seq_0242	1.00	1.00	1.00	1.00	1.00	1.00	0.56
seq_0195	1.00	0.96	0.13	0.05	0.03	0.03	0.03
seq_1128	1.00	1.00	0.93	0.93	0.93	0.90	0.40
seq_2230	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0293	1.00	0.98	0.74	0.73	0.61	0.43	0.43
seq_0257	1.00	0.97	0.22	0.21	0.20	0.03	0.03
seq_0787	1.00	0.75	0.19	0.05	0.03	0.03	0.01
seq_1454	1.00	0.84	0.84	0.27	0.21	0.21	0.20
seq_0237	1.00	0.99	0.95	0.15	0.15	0.15	0.15
seq_0671	1.00	0.40	0.40	0.12	0.07	0.07	0.06
seq_2233	1.00	0.70	0.13	0.01	0.01	0.01	0.01
seq_2047	1.00	0.29	0.24	0.04	0.01	0.01	0.01
seq_0325	1.00	0.99	0.87	0.35	0.09	0.08	0.05
seq_0309	1.00	0.76	0.48	0.48	0.48	0.28	0.28
seq_0150	1.00	0.26	0.22	0.11	0.01	0.01	0.01
seq_1246	1.00	0.98	0.25	0.02	0.02	0.02	0.01
seq_1097	1.00	1.00	0.90	0.54	0.14	0.14	0.10
seq_0298	0	NA	NA	NA	NA	NA	NA
seq_0168	1.00	0.78	0.34	0.30	0.06	0.04	0.04
seq_0230	1.00	0.97	0.58	0.48	0.19	0.19	0.19
seq_0232	1.00	0.98	0.91	0.76	0.53	0.45	0.45
seq_0819	1.00	0.67	0.67	0.50	0.38	0.38	0.38
seq_0192	1.00	0.02	0.02	0.02	0.02	0.02	0.02
seq_2250	1.00	1.00	1.00	0.94	0.41	0.41	0.34
seq_1520	1.00	0.98	0.29	0.05	0.03	0.03	0.03
seq_0147	1.00	1.00	0.92	0.63	0.63	0.57	0.36
seq_0163	1.00	0.97	0.75	0.30	0.30	0.30	0.30
seq_1553	1.00	0.21	0.12	0.09	0.05	0.04	0.04
seq_0408	1.00	0.89	0.21	0.09	0.02	0.01	0.01
seq_0149	1.00	0.97	0.34	0.25	0.21	0.18	0.05
seq_0177	1.00	0.65	0.64	0.64	0.64	0.64	0.32
seq_0153	1.00	0.12	0.05	0.02	0.02	0.02	0.02
seq_0511	1.00	1.00	0.93	0.18	0.18	0.18	0.18
seq_0216	1.00	0.92	0.35	0.27	0.26	0.22	0.17
seq_2237	1.00	0.99	0.99	0.99	0.99	0.99	0.99
seq_2238	1.00	1.00	0.85	0.02	0.01	0.01	0.01
seq_1177	1.00	0.49	0.49	0.20	0.18	0.09	0.01
seq_0179	1.00	0.98	0.31	0.11	0.09	0.02	0.02
seq_2239	1.00	0.96	0.21	0.09	0.09	0.07	0.07
seq_1971	1.00	0.91	0.35	0.25	0.11	0.01	0.01
seq_0711	1.00	0.45	0.24	0.24	0.23	0.03	0.03
seq_2240	1.00	0.70	0.70	0.19	0.18	0.10	0.07
seq_0370	0	NA	NA	NA	NA	NA	NA
seq_0891	1.00	0.55	0.22	0.14	0.12	0.12	0.10
seq_0687	1.00	0.15	0.08	0.05	0.05	0.02	0.02
seq_2241	1.00	1.00	1.00	1.00	1.00	0.94	0.37
seq_2257	1.00	1.00	0.91	0.52	0.25	0.25	0.12
seq_2245	1.00	0.61	0.61	0.46	0.45	0.45	0.45
seq_0246	1.00	0.72	0.22	0.15	0.15	0.06	0.06
