seq	kingdom	phylum	class	order	family	genus	species
seq_6414	1.00	0.81	0.70	0.31	0.08	0.02	0.02
seq_6416	1.00	0.71	0.63	0.09	0.09	0.06	0.01
seq_6412	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_6419	1.00	0.96	0.66	0.56	0.56	0.56	0.09
seq_6417	1.00	0.99	0.95	0.95	0.50	0.07	0.06
seq_6418	1.00	0.97	0.97	0.03	0.03	0.03	0.03
seq_6420	1.00	0.98	0.61	0.43	0.42	0.42	0.42
seq_6415	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_6426	1.00	0.98	0.52	0.29	0.27	0.19	0.10
seq_6425	1.00	0.97	0.18	0.18	0.12	0.07	0.04
seq_6421	1.00	1.00	1.00	0.99	0.83	0.80	0.80
seq_6428	1.00	0.98	0.81	0.81	0.62	0.38	0.21
seq_6424	1.00	0.77	0.29	0.28	0.19	0.11	0.11
seq_6427	1.00	0.51	0.36	0.11	0.04	0.01	0.01
seq_6429	1.00	0.52	0.38	0.38	0.38	0.38	0.38
seq_6430	1.00	0.46	0.45	0.19	0.11	0.03	0.03
seq_6431	1.00	0.91	0.18	0.07	0.05	0.05	0.05
seq_6435	1.00	1.00	0.86	0.77	0.77	0.57	0.57
seq_6433	1.00	0.68	0.68	0.35	0.04	0.04	0.03
seq_6432	1.00	0.33	0.33	0.04	0.04	0.02	0.02
seq_6436	1.00	0.20	0.20	0.15	0.14	0.05	0.02
seq_6434	1.00	0.77	0.77	0.07	0.07	0.07	0.07
seq_6437	1.00	0.53	0.09	0.08	0.08	0.05	0.05
seq_6438	1.00	0.83	0.24	0.05	0.01	0.01	0.01
seq_6441	1.00	0.93	0.20	0.06	0.02	0.02	0.01
seq_6439	1.00	1.00	0.70	0.70	0.70	0.60	0.45
seq_6440	1.00	0.62	0.58	0.11	0.01	0.01	0.01
seq_6442	1.00	0.10	0.07	0.06	0.01	0.01	0.01
seq_6656	1.00	0.84	0.34	0.18	0.05	0.05	0.05
seq_1863	1.00	0.99	0.89	0.55	0.38	0.25	0.05
seq_6444	1.00	0.81	0.81	0.48	0.24	0.24	0.07
seq_6443	1.00	0.92	0.92	0.69	0.35	0.35	0.31
seq_1864	1.00	0.95	0.23	0.15	0.15	0.15	0.15
seq_1876	1.00	0.97	0.41	0.05	0.05	0.05	0.05
seq_2026	1.00	0.18	0.04	0.01	0.01	0.01	0.01
seq_2067	1.00	0.91	0.29	0.28	0.28	0.12	0.09
seq_2069	1.00	0.96	0.24	0.18	0.17	0.14	0.05
seq_2104	1.00	0.42	0.42	0.10	0.10	0.08	0.08
seq_6445	1.00	1.00	1.00	1.00	1.00	0.97	0.61
seq_6446	1.00	0.91	0.34	0.07	0.07	0.07	0.07
seq_2103	1.00	0.65	0.50	0.26	0.17	0.05	0.04
seq_6447	1.00	0.86	0.60	0.51	0.40	0.20	0.20
seq_6448	1.00	1.00	0.76	0.26	0.22	0.22	0.22
seq_6450	1.00	0.86	0.02	0.02	0.02	0.02	0.01
seq_6451	1.00	0.94	0.22	0.21	0.09	0.03	0.03
seq_6449	1.00	0.38	0.28	0.21	0.03	0.03	0.02
seq_6454	0	NA	NA	NA	NA	NA	NA
seq_6452	1.00	1.00	0.55	0.06	0.06	0.06	0.06
seq_6453	1.00	0.12	0.12	0.02	0.02	0.02	0.01
seq_6455	1.00	0.99	0.99	0.84	0.43	0.37	0.37
seq_6456	1.00	0.92	0.92	0.64	0.45	0.45	0.06
